BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12,Plan_A_Total_Cost,Plan_B_Total_Cost,Plan_D_Total_Cost
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982758.0,290.0,256.0,8.0,26.0,0.032,0.019,637117.0,890.0,473.0,278.0,139.0,1.9480000000000002,1.127,516476.0,2480.0,29.415,290.0,890.0,2480.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,613282.0,913.0,843.0,36.0,34.0,0.092,0.095,581822.0,1688.0,829.0,564.0,295.0,2.957,2.786,753223.0,3479.0,28.795,913.0,1688.0,3479.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4265.0,3536.0,3109.0,229.0,198.0,0.36,0.45299999999999996,4024.0,3064.0,1640.0,980.0,444.0,6.07,3.872,1685.0,2751.0,33.657,3536.0,3064.0,2751.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3982.0,7164.0,5990.0,893.0,281.0,0.509,2.19,3865.0,5242.0,2629.0,1753.0,860.0,6.105,6.117999999999999,3963.0,3979.0,43.839,7164.0,5242.0,3979.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37329.0,1487.0,1317.0,66.0,104.0,0.142,0.147,36156.0,3145.0,1978.0,851.0,316.0,7.099,3.109,16427.0,2876.0,34.996,1487.0,3145.0,2876.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,30571.0,2085.0,1763.0,199.0,123.0,0.175,0.46399999999999997,30015.0,4257.0,2338.0,1301.0,618.0,7.5489999999999995,4.876,31795.0,3900.0,41.163000000000004,2085.0,4257.0,3900.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,382.0,4137.0,3405.0,418.0,314.0,0.35100000000000003,1.089,378.0,4702.0,2773.0,1127.0,802.0,9.638,4.294,156.0,2831.0,37.986999999999995,4137.0,4702.0,2831.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,364.0,7384.0,5526.0,1435.0,423.0,0.552,3.7689999999999997,363.0,7461.0,3797.0,1847.0,1817.0,9.036,7.072,368.0,3848.0,49.563,7384.0,7461.0,3848.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4391.0,1954.0,1730.0,120.0,104.0,0.16899999999999998,0.306,4229.0,4266.0,2117.0,1361.0,788.0,7.257000000000001,4.03,1902.0,5635.0,37.722,1954.0,4266.0,5635.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10088.0,2721.0,2420.0,202.0,99.0,0.243,0.5489999999999999,10001.0,3933.0,1734.0,1121.0,1078.0,6.236000000000001,5.669,10180.0,5808.0,56.69,2721.0,3933.0,5808.0
